stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Context only Weather Search,M434,h0_w0_one_hot_ws_temperature_2m_dew_point_2m_pressure_msl_cloud_cover_low,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')",3.9508307591514042,57.26080400498447,11
Calendar + Context only Weather Search,M435,h0_w0_cyclic_ws_temperature_2m_dew_point_2m_pressure_msl_cloud_cover_low,"('dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')","('dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')",4.016503829317454,58.855125409121904,6
Calendar + Context only Weather Search,M436,h0_w1_none_ws_temperature_2m_dew_point_2m_pressure_msl_cloud_cover_low,"('weekend', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')","('weekend', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')",3.877114078506934,56.48277818651541,5
Calendar + Context only Weather Search,M437,h0_w1_integer_ws_temperature_2m_dew_point_2m_pressure_msl_cloud_cover_low,"('weekend', 'dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')","('weekend', 'dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')",3.8895057317966124,56.54470569641667,6
Calendar + Context only Weather Search,M438,h0_w1_one_hot_ws_temperature_2m_dew_point_2m_pressure_msl_cloud_cover_low,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')",3.8998385945630187,56.38083547115089,12
Calendar + Context only Weather Search,M439,h0_w1_cyclic_ws_temperature_2m_dew_point_2m_pressure_msl_cloud_cover_low,"('weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')","('weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')",3.9805648911080334,58.2811710321834,7
Calendar + Context only Weather Search,M440,h1_w0_none_ws_temperature_2m_dew_point_2m_pressure_msl_cloud_cover_low,"('holiday', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')","('holiday', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')",3.8580773768964254,56.24549121708722,5
Calendar + Context only Weather Search,M441,h1_w0_integer_ws_temperature_2m_dew_point_2m_pressure_msl_cloud_cover_low,"('holiday', 'dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')","('holiday', 'dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')",3.8614827005522296,56.08325784705982,6
Calendar + Context only Weather Search,M442,h1_w0_one_hot_ws_temperature_2m_dew_point_2m_pressure_msl_cloud_cover_low,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')",3.925600517705512,56.8554453226309,12
Calendar + Context only Weather Search,M443,h1_w0_cyclic_ws_temperature_2m_dew_point_2m_pressure_msl_cloud_cover_low,"('holiday', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')","('holiday', 'dow_sin', 'dow_cos', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')",3.94244682492839,57.70842767015309,7
Calendar + Context only Weather Search,M444,h1_w1_none_ws_temperature_2m_dew_point_2m_pressure_msl_cloud_cover_low,"('holiday', 'weekend', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')","('holiday', 'weekend', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')",3.7889809293084777,55.15874933595333,6
Calendar + Context only Weather Search,M445,h1_w1_integer_ws_temperature_2m_dew_point_2m_pressure_msl_cloud_cover_low,"('holiday', 'weekend', 'dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')","('holiday', 'weekend', 'dow', 'temperature_2m', 'dew_point_2m', 'pressure_msl', 'cloud_cover_low')",3.8013374013178507,55.21871256185439,7
