stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Context only Weather Search,M486,h0_w1_one_hot_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.9775468614979683,27.98867907083174,12
Calendar + Context only Weather Search,M487,h0_w1_cyclic_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('weekend', 'dow_sin', 'dow_cos', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('weekend', 'dow_sin', 'dow_cos', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.9056823185696863,27.485331875829846,7
Calendar + Context only Weather Search,M488,h1_w0_none_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.010345220130441,28.542587354312285,5
Calendar + Context only Weather Search,M489,h1_w0_integer_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'dow', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'dow', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",3.0042118356896976,28.140471346118495,6
Calendar + Context only Weather Search,M490,h1_w0_one_hot_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.9795893074887383,28.11016828136404,12
Calendar + Context only Weather Search,M491,h1_w0_cyclic_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'dow_sin', 'dow_cos', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'dow_sin', 'dow_cos', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.92211059722821,27.83238810777884,7
Calendar + Context only Weather Search,M492,h1_w1_none_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.76987581951632,26.174196970888808,6
Calendar + Context only Weather Search,M493,h1_w1_integer_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.847511767533691,26.658397973619916,7
Calendar + Context only Weather Search,M494,h1_w1_one_hot_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.9210522913116432,27.475284975610926,13
Calendar + Context only Weather Search,M495,h1_w1_cyclic_ws_dew_point_2m_pressure_msl_wind_speed_10m_cloud_cover_low,"('holiday', 'weekend', 'dow_sin', 'dow_cos', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')","('holiday', 'weekend', 'dow_sin', 'dow_cos', 'dew_point_2m', 'pressure_msl', 'wind_speed_10m', 'cloud_cover_low')",2.8142454594758637,26.642135286919558,8
