stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Oracle Weather Search,M650,h1_w0_one_hot_ws_temperature_2m_cloud_cover_low,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'cloud_cover_low')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'cloud_cover_low')",3.745636580917539,54.27521755571774,10
Calendar + Oracle Weather Search,M651,h1_w0_cyclic_ws_temperature_2m_cloud_cover_low,"('holiday', 'dow_sin', 'dow_cos', 'temperature_2m', 'cloud_cover_low')","('holiday', 'dow_sin', 'dow_cos', 'temperature_2m', 'cloud_cover_low')",3.7525693261558324,54.45234516435843,5
Calendar + Oracle Weather Search,M652,h1_w1_none_ws_temperature_2m_cloud_cover_low,"('holiday', 'weekend', 'temperature_2m', 'cloud_cover_low')","('holiday', 'weekend', 'temperature_2m', 'cloud_cover_low')",3.558549013772343,51.24747256122843,4
Calendar + Oracle Weather Search,M653,h1_w1_integer_ws_temperature_2m_cloud_cover_low,"('holiday', 'weekend', 'dow', 'temperature_2m', 'cloud_cover_low')","('holiday', 'weekend', 'dow', 'temperature_2m', 'cloud_cover_low')",3.61501512331469,52.01443385245927,5
Calendar + Oracle Weather Search,M654,h1_w1_one_hot_ws_temperature_2m_cloud_cover_low,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'cloud_cover_low')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m', 'cloud_cover_low')",3.6934184645053394,53.24032349299769,11
Calendar + Oracle Weather Search,M655,h1_w1_cyclic_ws_temperature_2m_cloud_cover_low,"('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'cloud_cover_low')","('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m', 'cloud_cover_low')",3.6475016091942574,52.6762727224787,6
Calendar + Oracle Weather Search,M656,h0_w0_none_ws_dew_point_2m_pressure_msl,"('dew_point_2m', 'pressure_msl')","('dew_point_2m', 'pressure_msl')",4.049232090846301,59.33422069022869,2
Calendar + Oracle Weather Search,M657,h0_w0_integer_ws_dew_point_2m_pressure_msl,"('dow', 'dew_point_2m', 'pressure_msl')","('dow', 'dew_point_2m', 'pressure_msl')",4.002887449363752,57.469007756864755,3
Calendar + Oracle Weather Search,M658,h0_w0_one_hot_ws_dew_point_2m_pressure_msl,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m', 'pressure_msl')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m', 'pressure_msl')",3.8419280784517396,55.75433253513813,9
Calendar + Oracle Weather Search,M659,h0_w0_cyclic_ws_dew_point_2m_pressure_msl,"('dow_sin', 'dow_cos', 'dew_point_2m', 'pressure_msl')","('dow_sin', 'dow_cos', 'dew_point_2m', 'pressure_msl')",4.091433527155776,59.971499386005775,4
